Field,CancerBioExperience,StatExperience,MLExperience,ProgrammingExperience,OS,RExperience,AnalyzedMA
OtherBio,0,1,1,0,Windows,1,N
OtherBio,1,1,1,2,Linux,2,Y
Bioinfo,2,2,3,3,Linux,3,Y
CancerBio,2,1,1,0,Windows,1,N
Bioinfo,1,1,1,2,Windows,2,Y
Bioinfo,0,1,2,2,Windows,1,Y
Bioinfo,0,2,2,3,Linux,3,Y
OtherBio,0,1,1,1,Windows,0,N
Stats,2,3,2,3,Windows,2,N
Bioinfo,1,1,1,2,Linux,1,Y
CancerBio,2,1,2,0,Windows,1,Y
Bioinfo,0,2,1,3,Linux,2,Y
Bioinfo,0,1,1,2,Linux,2,Y
CancerBio,3,1,0,2,Windows,0,N
OtherBio,0,0,1,1,Windows,0,N 
CancerBio,2,1,1,1,Windows,1,N
Bioinfo,1,1,2,3,Linux,1,N
Bioinfo,0,3,2,3,Windows,2,Y
Other,0,3,1,0,Windows,0,N
Bioinfo,0,2,3,3,Linux,2,N
Bioinfo,1,1,2,2,Linux,2,Y
OtherBio,0,1,1,2,Windows,NA,NA
Bioinfo,1,1,1,2,Windows,1,Y
Bioinfo,1,1,1,2,Linux,2,N
OtherBio,0,3,2,1,Windows,1,N
Bioinfo,0,1,2,3,Linux,3,Y
